form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,analysis_tag,source,page,language_id
komthayong039,hmu,3.pl.1.pl.incl.fut.aff,an-hmu-sik-me,an-Σ-sik-me,a+n+Σ+sik+me,a n Σ s i k m e,a + n + Σ + s i k + m e,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong040,hmu,3.pl.1.pl.incl.fut.aff,ani-hmu-sik,ani-Σ-sik,a+ni+hmu+sik,a n i m̥ u s i k,a + n i + m̥ u + s i k,dialect_var,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong041,hmu,3.sg.2.sg.fut.aff,a-hmu-sik-che,a-Σ-sik-che,a+Σ+sik+che,a Σ s i k tʃ e,a + Σ + s i k + tʃ e,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong042,hmu,3.sg.2.pl.fut.aff,a-hmu-sik-chui,a-Σ-sik-chui,a+Σ+sik+chui,a Σ s i k tʃ ui,a + Σ + s i k + tʃ ui,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong043,hmu,3.pl.2.sg.fut.aff,an-hmu-sik-che,an-Σ-sik-che,a+n+Σ+sik+che,a n Σ s i k tʃ e,a + n + Σ + s i k + tʃ e,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong044,hmu,3.pl.2.pl.fut.aff,an-hmu-sik-chui,an-Σ-sik-chui,a+n+Σ+sik+chui,a n Σ s i k tʃ ui,a + n + Σ + s i k + tʃ ui,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong045,hmu,3.sg.3.sg.fut.aff,a-hmu-sik,a-Σ-sik,a+Σ+sik,a Σ s i k,a + Σ + s i k,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong046,hmu,3.sg.3.pl.fut.aff,a-hmu-sik-hei,a-Σ-sik-hei,a+Σ+sik+hei,a Σ s i k h ei,a + Σ + s i k + h ei,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong047,hmu,3.pl.3.sg.fut.aff,an-hmu-sik,an-Σ-sik,a+n+Σ+sik,a n Σ s i k,a + n + Σ + s i k,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong048,hmu,3.pl.3.pl.fut.aff,an-hmu-sik-hei,an-Σ-sik-hei,a+n+Σ+sik+hei,a n Σ s i k h ei,a + n + Σ + s i k + h ei,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
